userId,restaurantId,rating,review
10,1,2.0,"My experience at The Gourmet Kitchen was mediocre. The food was alright, but the place was too crowded."
16,1,5.0,The Gourmet Kitchen exceeded my expectations. The food was phenomenal and the service was exceptional.
27,1,2.0,"My experience at The Gourmet Kitchen was mediocre. The food was alright, but the place was too crowded."
12,1,3.0,The Gourmet Kitchen offers good food with decent service. It's a nice place to visit if you're in the area.
6,1,3.0,I enjoyed my meal at The Gourmet Kitchen. The food was tasty and the service was satisfactory.
31,1,1.0,I would not recommend The Gourmet Kitchen to anyone. The food lacked flavor and the staff was not attentive.
3,1,3.0,I enjoyed my meal at The Gourmet Kitchen. The food was tasty and the service was satisfactory.
20,1,5.0,The Gourmet Kitchen exceeded my expectations. The food was phenomenal and the service was exceptional.
13,1,1.0,I would not recommend The Gourmet Kitchen to anyone. The food lacked flavor and the staff was not attentive.
28,1,3.0,I enjoyed my meal at The Gourmet Kitchen. The food was tasty and the service was satisfactory.
20,2,2.0,"My experience at Spice Symphony was mediocre. The food was alright, but the place was too crowded."
28,2,5.0,A wonderful dining experience at Spice Symphony. The food was exquisite and the staff went above and beyond.
17,2,5.0,A wonderful dining experience at Spice Symphony. The food was exquisite and the staff went above and beyond.
30,2,3.0,Had a decent meal at Spice Symphony. The food was good and the place was clean. Service was decent too.
34,2,4.0,"Absolutely loved Spice Symphony. The ambiance is great, the food is amazing, and the staff is friendly."
10,2,1.0,Disappointed with my visit to Spice Symphony. The ambiance was dull and the food was subpar.
7,2,1.0,Disappointed with my visit to Spice Symphony. The ambiance was dull and the food was subpar.
13,2,4.0,"Absolutely loved Spice Symphony. The ambiance is great, the food is amazing, and the staff is friendly."
16,2,2.0,Visited Spice Symphony and found the food to be just alright. Service could have been better.
4,2,3.0,Had a decent meal at Spice Symphony. The food was good and the place was clean. Service was decent too.
13,3,4.0,Ocean Breeze is fantastic! The food is delicious and the service is excellent. Highly recommended!
17,3,5.0,A wonderful dining experience at Ocean Breeze. The food was exquisite and the staff went above and beyond.
9,3,2.0,"Ocean Breeze was just okay. The food was edible, but nothing special. The service was average."
